edge_id,pipeline_id,from_node_id,from_node_name,to_node_id,to_node_name,geometry_available,length_km,is_bridge_stated,is_bridge_drawable,bridge_meaning,interconnection_basis,provenance_category
E001,17.03.NGPL,N023,Hazira,N055,Vijaipur,FALSE,NA,TRUE,NA,removing this single segment disconnects part of the network from the rest,two pipelines naming the same place are treated as connected there; the register does not state physical interconnection (see script header),C
E002,17.03.NGPL,N055,Vijaipur,N026,Jagdishpur,FALSE,NA,FALSE,NA,removing this single segment disconnects part of the network from the rest,two pipelines naming the same place are treated as connected there; the register does not state physical interconnection (see script header),C
E003,17.03.NGPL,N026,Jagdishpur,N014,Dahej,TRUE,991.064,FALSE,TRUE,removing this single segment disconnects part of the network from the rest,two pipelines naming the same place are treated as connected there; the register does not state physical interconnection (see script header),C
E004,17.11.NGPL,N014,Dahej,N055,Vijaipur,FALSE,NA,FALSE,NA,removing this single segment disconnects part of the network from the rest,two pipelines naming the same place are treated as connected there; the register does not state physical interconnection (see script header),C
E005,17.11.NGPL,N055,Vijaipur,N013,Dadri,FALSE,NA,TRUE,NA,removing this single segment disconnects part of the network from the rest,two pipelines naming the same place are treated as connected there; the register does not state physical interconnection (see script header),C
E006,17.04.NGPL,N031,Kakinada,N025,Hyderabad,TRUE,405.047,TRUE,TRUE,removing this single segment disconnects part of the network from the rest,two pipelines naming the same place are treated as connected there; the register does not state physical interconnection (see script header),C
E007,17.04.NGPL,N025,Hyderabad,N054,Uran,TRUE,606.782,TRUE,TRUE,removing this single segment disconnects part of the network from the rest,two pipelines naming the same place are treated as connected there; the register does not state physical interconnection (see script header),C
E008,17.04.NGPL,N054,Uran,N001,Ahmedabad,TRUE,460.671,TRUE,TRUE,removing this single segment disconnects part of the network from the rest,two pipelines naming the same place are treated as connected there; the register does not state physical interconnection (see script header),C
E009,17.05.NGPL,N014,Dahej,N054,Uran,TRUE,315.821,TRUE,TRUE,removing this single segment disconnects part of the network from the rest,two pipelines naming the same place are treated as connected there; the register does not state physical interconnection (see script header),C
E010,17.05.NGPL,N054,Uran,N045,Panvel,TRUE,21.772,TRUE,TRUE,removing this single segment disconnects part of the network from the rest,two pipelines naming the same place are treated as connected there; the register does not state physical interconnection (see script header),C
E011,17.05.NGPL,N045,Panvel,N012,Dabhol,TRUE,155.03,TRUE,TRUE,removing this single segment disconnects part of the network from the rest,two pipelines naming the same place are treated as connected there; the register does not state physical interconnection (see script header),C
E012,17.10.NGPL,N013,Dadri,N043,Panipat,TRUE,108.732,TRUE,TRUE,removing this single segment disconnects part of the network from the rest,two pipelines naming the same place are treated as connected there; the register does not state physical interconnection (see script header),C
E013,17.14.NGPL,N054,Uran,N052,Trombay,TRUE,14.109,TRUE,TRUE,removing this single segment disconnects part of the network from the rest,two pipelines naming the same place are treated as connected there; the register does not state physical interconnection (see script header),C
E014,18.02.NGPL,N023,Hazira,N003,Ankleshwar,TRUE,65.601,TRUE,TRUE,removing this single segment disconnects part of the network from the rest,two pipelines naming the same place are treated as connected there; the register does not state physical interconnection (see script header),C
