pipeline_id,seq,node_name,role,node_type,state_ut,latitude,longitude,coordinate_source,coordinate_method,coordinate_accuracy,coordinate_date,name_source,provenance_category
17.03.NGPL,1,Hazira,origin,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
17.03.NGPL,2,Vijaipur,intermediate,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
17.03.NGPL,3,Jagdishpur,intermediate,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
17.03.NGPL,4,Dahej,terminus,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
17.11.NGPL,1,Dahej,origin,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
17.11.NGPL,2,Vijaipur,intermediate,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
17.11.NGPL,3,Dadri,terminus,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
17.04.NGPL,1,Kakinada,origin,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
17.04.NGPL,2,Hyderabad,intermediate,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
17.04.NGPL,3,Uran,intermediate,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
17.04.NGPL,4,Ahmedabad,terminus,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
17.05.NGPL,1,Dahej,origin,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
17.05.NGPL,2,Uran,intermediate,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
17.05.NGPL,3,Panvel,intermediate,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
17.05.NGPL,4,Dabhol,terminus,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
17.10.NGPL,1,Dadri,origin,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
17.10.NGPL,2,Panipat,terminus,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
17.14.NGPL,1,Uran,origin,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
17.14.NGPL,2,Trombay,terminus,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
18.02.NGPL,1,Hazira,origin,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
18.02.NGPL,2,Ankleshwar,terminus,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
5.05.NGPL,1,Shahdol,origin,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
5.05.NGPL,2,Phulpur,terminus,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
17.18.NGPL,1,Dukli,origin,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
