node_id,node_name,gazetteer_name,alias_note,pipelines,n_pipelines,roles,latitude,longitude,state_ut,geonameid,coordinate_source,coordinate_method,coordinate_accuracy,coordinate_date,n_matches_in_state,n_matches_country,legacy_lat,legacy_lon,legacy_delta_km,status,node_class,facility_type,coordinate_status,name_provenance,coordinate_provenance
N001,Ahmedabad,Ahmedabad,,17.04.NGPL,1,terminus,23.02579,72.58727,Gujarat,1279233,"GeoNames IN.txt (2026-09-06), geonameid 1279233","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,1,2,23.0225,72.5714,1.66,resolved,Terminal,"UNKNOWN -- the register names the place, not the facility",resolved,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained"
N002,Angul,Angul,,5.12.NGPL,1,terminus,20.84089,85.10192,Odisha,1278593,"GeoNames IN.txt (2026-09-06), geonameid 1278593","populated-place centroid, 2 in-state homonyms; resolved by agreement with the legacy node table (5.1 km) -- two independent sources concur",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,2,3,20.8444,85.1511,5.13,resolved,Terminal,"UNKNOWN -- the register names the place, not the facility",resolved,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained"
N003,Ankleshwar,Ankleshwar,,18.02.NGPL,1,terminus,21.63236,72.99001,Gujarat,1278553,"GeoNames IN.txt (2026-09-06), geonameid 1278553","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,1,1,21.626,73.015,2.68,resolved,Terminal,"UNKNOWN -- the register names the place, not the facility",resolved,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained"
N004,Bangalore,Bengaluru,official renaming 2014 (Bengaluru),17.15.NGPL;17.16.NGPL,2,intermediate;terminus,12.97194,77.59369,Karnataka,1277333,"GeoNames IN.txt (2026-09-06), geonameid 1277333","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,1,1,12.9716,77.5946,0.11,resolved,Interconnection,"UNKNOWN -- the register names the place, not the facility",resolved,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained"
N005,Barauni,Barauni,,17.20.NGPL,1,intermediate,25.4709,85.976,Bihar,11184261,"GeoNames IN.txt (2026-09-06), geonameid 11184261","populated-place centroid, 2 in-state homonyms; resolved by agreement with the legacy node table (1.1 km) -- two independent sources concur",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,2,4,25.477,85.968,1.05,resolved,IntermediateRoutePoint,"UNKNOWN -- the register names the place, not the facility",resolved,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained"
N006,Bawana,Bawana,,17.12.NGPL,1,intermediate,28.7982,77.03431,Delhi,1276663,"GeoNames IN.txt (2026-09-06), geonameid 1276663","populated-place centroid, 3 in-state homonyms; resolved by agreement with the legacy node table (0.2 km) -- two independent sources concur",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,3,3,28.8004,77.0343,0.24,resolved,IntermediateRoutePoint,"UNKNOWN -- the register names the place, not the facility",resolved,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained"
N007,Bhatinda,Bathinda,register spelling; gazetteer uses Bathinda,5.01.NGPL;5.02.NGPL,2,origin;terminus,30.20747,74.93893,Punjab,1276070,"GeoNames IN.txt (2026-09-06), geonameid 1276070","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,1,1,30.211,74.9455,0.74,resolved,Interconnection,"UNKNOWN -- the register names the place, not the facility",resolved,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained"
N008,Bhilwara,Bhilwara,,5.03.NGPL,1,intermediate,25.34707,74.64081,Rajasthan,1275960,"GeoNames IN.txt (2026-09-06), geonameid 1275960","populated-place centroid, 5 in-state homonyms; resolved by agreement with the legacy node table (0.0 km) -- two independent sources concur",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,5,6,25.347,74.6408,0.01,resolved,IntermediateRoutePoint,"UNKNOWN -- the register names the place, not the facility",resolved,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained"
N009,Bhopal,Bhopal,,5.03.NGPL,1,intermediate,23.25469,77.40289,Madhya Pradesh,1275841,"GeoNames IN.txt (2026-09-06), geonameid 1275841","populated-place centroid, 2 in-state homonyms; resolved by agreement with the legacy node table (1.1 km) -- two independent sources concur",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,2,3,23.2599,77.4126,1.15,resolved,IntermediateRoutePoint,"UNKNOWN -- the register names the place, not the facility",resolved,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained"
N010,Bokaro,Bokaro,,17.20.NGPL,1,intermediate,23.66934,86.15161,Jharkhand,1275362,"GeoNames IN.txt (2026-09-06), geonameid 1275362","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,1,1,23.6693,86.1511,0.05,resolved,IntermediateRoutePoint,"UNKNOWN -- the register names the place, not the facility",resolved,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained"
N011,Chainsa,Chainsa,,17.09.NGPL,1,origin,,,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,,0,0,28.295,77.34,,"UNRESOLVED: 0 gazetteer match(es) for 'Chainsa', none inside ['Delhi', 'Haryana', 'Rajasthan']",Terminal,"UNKNOWN -- the register names the place, not the facility",unresolved,"A -- pipeline name, PNGRB register",
