distortion_rank,node_id,node_name,coordinate_status,degree_stated,betweenness_stated,spearman_rho_if_missing,kendall_tau_b_if_missing,top5_retained_if_missing,betweenness_mass_lost_if_missing,provenance_category
1,N054,Uran,resolved,6,0.232323,0.7956,0.7446,3,0.7591,C
2,N021,Haldia,resolved,2,0.094276,0.8892,0.8650,4,0.3788,C
3,N010,Bokaro,resolved,2,0.078114,0.9024,0.8719,3,0.3449,C
4,N031,Kakinada,resolved,2,0.078114,0.9103,0.8921,5,0.3284,C
5,N015,Dhamra,resolved,2,0.060606,0.9165,0.8816,3,0.2996,C
6,N056,Vijayawada,resolved,2,0.060606,0.9205,0.8944,5,0.2865,C
7,N026,Jagdishpur,resolved,3,0.109091,0.9306,0.8930,4,0.4008,C
8,N004,Bangalore,resolved,3,0.061953,0.9307,0.9100,5,0.2650,C
9,N046,Paradip,resolved,2,0.041751,0.9394,0.9023,3,0.2432,C
10,N012,Dabhol,resolved,2,0.078114,0.9406,0.9222,5,0.3077,C
11,N042,Nellore,resolved,2,0.041751,0.9423,0.9145,5,0.2335,C
12,N055,Vijaipur,ambiguous,5,0.162963,0.9460,0.9179,5,0.4553,C
13,N025,Hyderabad,resolved,2,0.094276,0.9474,0.9195,5,0.3588,C
14,N045,Panvel,resolved,2,0.094276,0.9479,0.9267,5,0.3396,C
15,N005,Barauni,resolved,2,0.021549,0.9682,0.9395,3,0.1764,C
16,N018,Ennore,resolved,2,0.021549,0.9689,0.9444,5,0.1701,C
17,N009,Bhopal,resolved,2,0.021549,0.9737,0.9679,5,0.1166,C
18,N020,Guwahati,resolved,1,0.000000,0.9800,0.9644,4,0.0997,C
19,N053,Tuticorin,resolved,1,0.000000,0.9801,0.9654,5,0.0966,C
20,N013,Dadri,resolved,3,0.061953,0.9806,0.9741,5,0.1980,C
21,N008,Bhilwara,resolved,2,0.041751,0.9807,0.9760,5,0.1523,C
22,N033,Kochi,resolved,1,0.000000,0.9807,0.9673,5,0.0855,C
23,N036,Mallavaram,resolved,1,0.000000,0.9812,0.9738,5,0.0702,C
24,N041,Nangal,resolved,1,0.000000,0.9815,0.9729,5,0.0694,C
25,N003,Ankleshwar,resolved,1,0.000000,0.9819,0.9771,5,0.0591,C
26,N007,Bhatinda,resolved,2,0.001347,0.9880,0.9823,5,0.0008,C
27,N019,Gurdaspur,resolved,2,0.001347,0.9880,0.9823,5,0.0008,C
28,N027,Jammu,resolved,1,0.000000,0.9881,0.9818,5,0.0012,C
29,N038,Mehsana,resolved,1,0.000000,0.9881,0.9818,5,0.0012,C
30,N011,Chainsa,unresolved,1,0.000000,0.9909,0.9865,5,0.0004,C
31,N024,Hissar,resolved,1,0.000000,0.9909,0.9865,5,0.0004,C
32,N030,Jharsuguda,resolved,1,0.000000,0.9909,0.9865,5,0.0004,C
33,N039,Mumbai,resolved,1,0.000000,0.9909,0.9865,5,0.0004,C
34,N034,Koottanad,resolved,2,0.021549,0.9936,0.9720,5,0.1477,C
35,N006,Bawana,resolved,2,0.021549,0.9970,0.9877,5,0.1150,C
36,N037,Mangalore,resolved,1,0.000000,0.9984,0.9889,5,0.0737,C
37,N014,Dahej,resolved,3,0.183165,0.9990,0.9887,5,0.6269,C
38,N043,Panipat,resolved,1,0.000000,0.9992,0.9944,5,0.0575,C
39,N001,Ahmedabad,resolved,1,0.000000,1.0000,1.0000,5,0.0453,C
40,N002,Angul,resolved,1,0.000000,1.0000,1.0000,5,0.0000,C
41,N016,Dukli,resolved,1,0.000000,1.0000,1.0000,5,0.0000,C
42,N017,Dwarka,resolved,1,0.000000,1.0000,1.0000,5,0.0000,C
43,N022,Hazaribagh,resolved,1,0.000000,1.0000,1.0000,5,0.0000,C
44,N023,Hazira,resolved,2,0.021549,1.0000,1.0000,5,0.0942,C
45,N028,Jamnagar,resolved,1,0.000000,1.0000,1.0000,5,0.0000,C
46,N029,Jhajjar,resolved,2,0.000673,1.0000,1.0000,5,0.0000,C
47,N032,Kanai Chhata,unresolved,1,0.000000,1.0000,1.0000,5,0.0000,C
48,N035,Maharajganj,unresolved,1,0.000000,1.0000,1.0000,5,0.0000,C
49,N040,Nagpur,resolved,2,0.000673,1.0000,1.0000,5,0.0000,C
50,N044,Panitar,unresolved,1,0.000000,1.0000,1.0000,5,0.0000,C
51,N047,Phulpur,resolved,1,0.000000,1.0000,1.0000,5,0.0000,C
52,N048,Ranchi,resolved,1,0.000000,1.0000,1.0000,5,0.0000,C
53,N049,Shahdol,resolved,1,0.000000,1.0000,1.0000,5,0.0000,C
54,N050,Srikakulam,resolved,1,0.000000,1.0000,1.0000,5,0.0000,C
55,N051,Taloja,resolved,1,0.000000,1.0000,1.0000,5,0.0453,C
56,N052,Trombay,resolved,1,0.000000,1.0000,1.0000,5,0.0453,C
