pipeline_id,pipeline_name,pipeline_category,status,authorization_regulation,operator_code,operator_name,authorization_date,authorized_length_km,operating_length_km,under_construction_km,capacity_mmscmd,capacity_verbatim,target_completion,states_covered_verbatim,pdf_table,pdf_row,source_document,in_graph_scope,notes
17.01.NGPL,Assam Regional Network,Common Carrier,Operational,Reg 5/17/18,GAIL,,2009-11-04,8.0,8.0,,2.5,,,Assam,T1_p3_4_Op_CC,1,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",True,Operator code not expanded in the PDF p.2 glossary; operator_name left NA rather than inferred.
17.02.NGPL,Cauvery Basin Network,Common Carrier,Operational,Reg 5/17/18,GAIL,,2009-11-04,240.0,242.0,,4.33,,,Puducherry and Tamil Nadu,T1_p3_4_Op_CC,2,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",True,Operator code not expanded in the PDF p.2 glossary; operator_name left NA rather than inferred.
17.03.NGPL,Hazira-Vijaipur-Jagdishpur -GREP (Gas Rehabilitation and Expansion Project)-Dahej-Vijaipur HVJ/VDPL,Common Carrier,Operational,Reg 5/17/18,GAIL,,2010-04-19,6169.0,6732.0,,111.3,,,"Uttar Pradesh, Madhya Pradesh, Rajasthan and Gujarat, Haryana, Delhi, and Uttarakhand",T1_p3_4_Op_CC,3,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",True,Operator code not expanded in the PDF p.2 glossary; operator_name left NA rather than inferred.
17.11.NGPL,Dahej-Vijaipur (DVPL)-Vijaipur-Dadri (GREP) Upgradation DVPL 2 & VDPL,Common Carrier,Operational,Reg 5/17/18,GAIL,,2011-02-14,,,,,,,,T1_p3_4_Op_CC,4,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",True,Length and capacity reported jointly with 17.03.NGPL in the PDF; NA here rather than duplicated or invented. States column also merged with 17.03. Operator code not expanded in the PDF p.2 glossary; operator_name left NA rather than inferred.
17.04.NGPL,Kakinada-Hyderabad-Uran-Ahmedabad (East West Pipeline),Common Carrier,Operational,Reg 5/17/18,PIL,Pipelines Infrastructure Limited,2019-06-21,1459.0,1485.0,,85.0,,,"Andhra Pradesh, Gujarat, Maharashtra, Telangana and Karnataka",T1_p3_4_Op_CC,5,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",True,
17.05.NGPL,Dahej-Uran-Panvel-Dabhol,Common Carrier,Operational,Reg 5/17/18,GAIL,,2010-05-10,920.0,943.0,,22.5,,,"Gujarat, Maharashtra, UT of Dadra & Nagar Haveli and Daman & Diu",T1_p3_4_Op_CC,6,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",True,Operator code not expanded in the PDF p.2 glossary; operator_name left NA rather than inferred.
17.06.NGPL,KG Basin Network,Common Carrier,Operational,Reg 5/17/18,GAIL,,2010-05-12,878.0,867.0,,16.0,,,Andhra Pradesh,T1_p3_4_Op_CC,7,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",True,Operator code not expanded in the PDF p.2 glossary; operator_name left NA rather than inferred.
17.07.NGPL,Gujarat Regional Network,Common Carrier,Operational,Reg 5/17/18,GAIL,,2010-12-03,609.0,585.0,,8.31,,,Gujarat,T1_p3_4_Op_CC,8,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",True,Operator code not expanded in the PDF p.2 glossary; operator_name left NA rather than inferred.
17.08.NGPL,Agartala Regional Network,Common Carrier,Operational,Reg 5/17/18,GAIL,,2010-12-13,55.0,65.0,,2.0,,,Tripura,T1_p3_4_Op_CC,9,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",True,Operator code not expanded in the PDF p.2 glossary; operator_name left NA rather than inferred.
17.10.NGPL,Dadri-Panipat,Common Carrier,Operational,Reg 5/17/18,IOCL,Indian Oil Corporation Limited,2011-01-05,132.0,143.0,,20.0,,,Haryana and Uttar Pradesh,T1_p3_4_Op_CC,10,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",True,
