node_id,node_name,node_class,facility_type,state_ut,latitude,longitude,coordinate_status,coordinate_source,coordinate_method,coordinate_accuracy,coordinate_date,name_provenance,coordinate_provenance,pipelines,n_pipelines,roles,legacy_delta_km,status
N001,Ahmedabad,Terminal,"UNKNOWN -- the register names the place, not the facility",Gujarat,23.02579,72.58727,resolved,"GeoNames IN.txt (2026-09-06), geonameid 1279233","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained",17.04.NGPL,1,terminus,1.66,resolved
N002,Angul,Terminal,"UNKNOWN -- the register names the place, not the facility",Odisha,20.84089,85.10192,resolved,"GeoNames IN.txt (2026-09-06), geonameid 1278593","populated-place centroid, 2 in-state homonyms; resolved by agreement with the legacy node table (5.1 km) -- two independent sources concur",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained",5.12.NGPL,1,terminus,5.13,resolved
N003,Ankleshwar,Terminal,"UNKNOWN -- the register names the place, not the facility",Gujarat,21.63236,72.99001,resolved,"GeoNames IN.txt (2026-09-06), geonameid 1278553","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained",18.02.NGPL,1,terminus,2.68,resolved
N004,Bangalore,Interconnection,"UNKNOWN -- the register names the place, not the facility",Karnataka,12.97194,77.59369,resolved,"GeoNames IN.txt (2026-09-06), geonameid 1277333","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained",17.15.NGPL;17.16.NGPL,2,intermediate;terminus,0.11,resolved
N005,Barauni,IntermediateRoutePoint,"UNKNOWN -- the register names the place, not the facility",Bihar,25.4709,85.976,resolved,"GeoNames IN.txt (2026-09-06), geonameid 11184261","populated-place centroid, 2 in-state homonyms; resolved by agreement with the legacy node table (1.1 km) -- two independent sources concur",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained",17.20.NGPL,1,intermediate,1.05,resolved
N006,Bawana,IntermediateRoutePoint,"UNKNOWN -- the register names the place, not the facility",Delhi,28.7982,77.03431,resolved,"GeoNames IN.txt (2026-09-06), geonameid 1276663","populated-place centroid, 3 in-state homonyms; resolved by agreement with the legacy node table (0.2 km) -- two independent sources concur",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained",17.12.NGPL,1,intermediate,0.24,resolved
N007,Bhatinda,Interconnection,"UNKNOWN -- the register names the place, not the facility",Punjab,30.20747,74.93893,resolved,"GeoNames IN.txt (2026-09-06), geonameid 1276070","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained",5.01.NGPL;5.02.NGPL,2,origin;terminus,0.74,resolved
N008,Bhilwara,IntermediateRoutePoint,"UNKNOWN -- the register names the place, not the facility",Rajasthan,25.34707,74.64081,resolved,"GeoNames IN.txt (2026-09-06), geonameid 1275960","populated-place centroid, 5 in-state homonyms; resolved by agreement with the legacy node table (0.0 km) -- two independent sources concur",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained",5.03.NGPL,1,intermediate,0.01,resolved
N009,Bhopal,IntermediateRoutePoint,"UNKNOWN -- the register names the place, not the facility",Madhya Pradesh,23.25469,77.40289,resolved,"GeoNames IN.txt (2026-09-06), geonameid 1275841","populated-place centroid, 2 in-state homonyms; resolved by agreement with the legacy node table (1.1 km) -- two independent sources concur",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained",5.03.NGPL,1,intermediate,1.15,resolved
N010,Bokaro,IntermediateRoutePoint,"UNKNOWN -- the register names the place, not the facility",Jharkhand,23.66934,86.15161,resolved,"GeoNames IN.txt (2026-09-06), geonameid 1275362","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained",17.20.NGPL,1,intermediate,0.05,resolved
N011,Chainsa,Terminal,"UNKNOWN -- the register names the place, not the facility",,,,unresolved,UNRESOLVED,UNRESOLVED,UNRESOLVED,,"A -- pipeline name, PNGRB register",,17.09.NGPL,1,origin,,"UNRESOLVED: 0 gazetteer match(es) for 'Chainsa', none inside ['Delhi', 'Haryana', 'Rajasthan']"
N012,Dabhol,Interconnection,"UNKNOWN -- the register names the place, not the facility",Maharashtra,17.58971,73.18001,resolved,"GeoNames IN.txt (2026-09-06), geonameid 1273765","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained",17.05.NGPL;17.16.NGPL,2,origin;terminus,0.08,resolved
N013,Dadri,Interconnection,"UNKNOWN -- the register names the place, not the facility",Uttar Pradesh,28.55257,77.55403,resolved,"GeoNames IN.txt (2026-09-06), geonameid 1273724","populated-place centroid, 14 in-state homonyms; resolved by agreement with the legacy node table (0.6 km) -- two independent sources concur",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained",17.10.NGPL;17.11.NGPL;17.12.NGPL,3,origin;terminus,0.62,resolved
