offtake_id,pdf_s_no,ga_id,ga_name,cgd_entity,stpl_length_km,status,tap_from_verbatim,transmission_entity,tap_acronym_expansion,pipeline_id,pipeline_name_matched,link_basis,link_provenance_category,pdf_page,source_document,provenance_category
OT-OP-001,1,2.01,Chandigarh,IOAGPL,22.0,Operational,DBNPL,GAIL,Dadri-Bawana-Nangal,17.12.NGPL,Dadri-Bawana-Nangal,"acronym 'DBNPL' expands to 'Dadri-Bawana-Nangal', the register's own name for 17.12.NGPL; transmission entity GAIL matches that pipeline's operator",C,9,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-002,2,2.02,Allahabad,IOAGPL,17.2,Operational,HVJ,GAIL,Hazira-Vijaipur-Jagdishpur,17.03.NGPL,Hazira-Vijaipur-Jagdishpur -GREP (Gas Rehabilitation and Expansion Project)-Dahej-Vijaipur HVJ/VDPL,"acronym 'HVJ' expands to 'Hazira-Vijaipur-Jagdishpur', the register's own name for 17.03.NGPL; transmission entity GAIL matches that pipeline's operator",C,9,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-003,3,2.03,Jhansi,CUGL,8.45,Operational,VAPL,GAIL,NA,UNKNOWN,UNKNOWN,"UNMAPPED: Vijaipur-Auraiya; a segment of the HVJ system, not a separate PL ID in the December 2025 register",C,9,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-004,4,4.06,UT of Daman,IOAGPL,15.6,Operational,DUPL-DPPL,GAIL,Dahej-Uran-Panvel-Dabhol,17.05.NGPL,Dahej-Uran-Panvel-Dabhol,"acronym 'DUPL-DPPL' expands to 'Dahej-Uran-Panvel-Dabhol', the register's own name for 17.05.NGPL; transmission entity GAIL matches that pipeline's operator",C,9,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-005,5,4.07,Amritsar District,GGL,4.8,Operational,BGPL,GIGL,Bhatinda-Gurdaspur,5.02.NGPL,Bhatinda-Gurdaspur,"acronym 'BGPL' expands to 'Bhatinda-Gurdaspur', the register's own name for 5.02.NGPL; transmission entity GIGL matches that pipeline's operator",C,9,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-006,6,4.08,Pune District (EAAA),TGPL,0.198,Operational,DUPL-DPPL,GAIL,Dahej-Uran-Panvel-Dabhol,17.05.NGPL,Dahej-Uran-Panvel-Dabhol,"acronym 'DUPL-DPPL' expands to 'Dahej-Uran-Panvel-Dabhol', the register's own name for 17.05.NGPL; transmission entity GAIL matches that pipeline's operator",C,9,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-007,6,4.08,Pune District (EAAA),TGPL,1.71,Operational,EWPL,PIL,Kakinada-Hyderabad-Uran-Ahmedabad (East West),17.04.NGPL,Kakinada-Hyderabad-Uran-Ahmedabad (East West Pipeline),"acronym 'EWPL' expands to 'Kakinada-Hyderabad-Uran-Ahmedabad (East West)', the register's own name for 17.04.NGPL; transmission entity PIL matches that pipeline's operator",C,9,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-008,6,4.08,Pune District (EAAA),TGPL,0.927,Operational,EWPL,PIL,Kakinada-Hyderabad-Uran-Ahmedabad (East West),17.04.NGPL,Kakinada-Hyderabad-Uran-Ahmedabad (East West Pipeline),"acronym 'EWPL' expands to 'Kakinada-Hyderabad-Uran-Ahmedabad (East West)', the register's own name for 17.04.NGPL; transmission entity PIL matches that pipeline's operator",C,9,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-009,6,4.08,Pune District (EAAA),TGPL,0.565,Operational,EWPL,PIL,Kakinada-Hyderabad-Uran-Ahmedabad (East West),17.04.NGPL,Kakinada-Hyderabad-Uran-Ahmedabad (East West Pipeline),"acronym 'EWPL' expands to 'Kakinada-Hyderabad-Uran-Ahmedabad (East West)', the register's own name for 17.04.NGPL; transmission entity PIL matches that pipeline's operator",C,9,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-010,7,5.03,East Godavari District (EAAA),GGPL,6.845,Operational,KG basin Network,GAIL,KG Basin Network,17.06.NGPL,KG Basin Network,"acronym 'KG basin Network' expands to 'KG Basin Network', the register's own name for 17.06.NGPL; transmission entity GAIL matches that pipeline's operator",C,9,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-011,8,5.04,West Godavari District,GGPL,0.02,Operational,KG Basin Network,GAIL,KG Basin Network,17.06.NGPL,KG Basin Network,"acronym 'KG Basin Network' expands to 'KG Basin Network', the register's own name for 17.06.NGPL; transmission entity GAIL matches that pipeline's operator",C,9,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-012,8,5.04,West Godavari District,GGPL,3.312,Operational,KG Basin Network,GAIL,KG Basin Network,17.06.NGPL,KG Basin Network,"acronym 'KG Basin Network' expands to 'KG Basin Network', the register's own name for 17.06.NGPL; transmission entity GAIL matches that pipeline's operator",C,9,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-013,8,5.04,West Godavari District,GGPL,5.772,Operational,KG Basin Network,GAIL,KG Basin Network,17.06.NGPL,KG Basin Network,"acronym 'KG Basin Network' expands to 'KG Basin Network', the register's own name for 17.06.NGPL; transmission entity GAIL matches that pipeline's operator",C,9,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-014,8,5.04,West Godavari District,GGPL,4.094,Operational,KG Basin Network,GAIL,KG Basin Network,17.06.NGPL,KG Basin Network,"acronym 'KG Basin Network' expands to 'KG Basin Network', the register's own name for 17.06.NGPL; transmission entity GAIL matches that pipeline's operator",C,9,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-015,8,5.04,West Godavari District,GGPL,12.3,Operational,KG Basin Network,GAIL,KG Basin Network,17.06.NGPL,KG Basin Network,"acronym 'KG Basin Network' expands to 'KG Basin Network', the register's own name for 17.06.NGPL; transmission entity GAIL matches that pipeline's operator",C,9,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-016,9,5.05,Tumkur District,MCGDPL,2.4,Operational,DBPL,GAIL,Dabhol-Bangalore,17.16.NGPL,Dabhol-Bangalore,"acronym 'DBPL' expands to 'Dabhol-Bangalore', the register's own name for 17.16.NGPL; transmission entity GAIL matches that pipeline's operator",C,9,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-017,9,5.05,Tumkur District,MCGDPL,0.16,Operational,DBPL,GAIL,Dabhol-Bangalore,17.16.NGPL,Dabhol-Bangalore,"acronym 'DBPL' expands to 'Dabhol-Bangalore', the register's own name for 17.16.NGPL; transmission entity GAIL matches that pipeline's operator",C,9,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-018,10,5.06,Krishna District (EAAA),MCGDPL,0.48,Operational,KG Basin Network,GAIL,KG Basin Network,17.06.NGPL,KG Basin Network,"acronym 'KG Basin Network' expands to 'KG Basin Network', the register's own name for 17.06.NGPL; transmission entity GAIL matches that pipeline's operator",C,9,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-019,11,5.08,Belgaum District,MCGDPL,0.25,Operational,DBPL,GAIL,Dabhol-Bangalore,17.16.NGPL,Dabhol-Bangalore,"acronym 'DBPL' expands to 'Dabhol-Bangalore', the register's own name for 17.16.NGPL; transmission entity GAIL matches that pipeline's operator",C,9,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-020,12,6.13,Yamunanagar District,BPCL,2.3,Operational,DBNPL,GAIL,Dadri-Bawana-Nangal,17.12.NGPL,Dadri-Bawana-Nangal,"acronym 'DBNPL' expands to 'Dadri-Bawana-Nangal', the register's own name for 17.12.NGPL; transmission entity GAIL matches that pipeline's operator",C,9,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-021,13,6.14,Ratnagiri District,UEPL,0.254,Operational,DBPL,GAIL,Dabhol-Bangalore,17.16.NGPL,Dabhol-Bangalore,"acronym 'DBPL' expands to 'Dabhol-Bangalore', the register's own name for 17.16.NGPL; transmission entity GAIL matches that pipeline's operator",C,9,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-022,14,9.07,Diu & Gir Somnath Districts,IRMEPL,6.48,Operational,HPGGG,GSPL,High Pressure Gujarat Gas Grid,18.01.NGPL,High Pressure Gujarat Gas Grid,"acronym 'HPGGG' expands to 'High Pressure Gujarat Gas Grid', the register's own name for 18.01.NGPL; transmission entity GSPL matches that pipeline's operator",C,10,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-023,15,9.10,"Navsari District (EAAA), Surat District (EAAA), Tapi District (EAAA) & the Dangs District",ATGL,17.8,Operational,HPGGG,GSPL,High Pressure Gujarat Gas Grid,18.01.NGPL,High Pressure Gujarat Gas Grid,"acronym 'HPGGG' expands to 'High Pressure Gujarat Gas Grid', the register's own name for 18.01.NGPL; transmission entity GSPL matches that pipeline's operator",C,10,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-024,16,9.12,Kheda District (EAAA) & Mahisagar District,ATGL,0.74,Operational,HPGGG,GSPL,High Pressure Gujarat Gas Grid,18.01.NGPL,High Pressure Gujarat Gas Grid,"acronym 'HPGGG' expands to 'High Pressure Gujarat Gas Grid', the register's own name for 18.01.NGPL; transmission entity GSPL matches that pipeline's operator",C,10,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-025,17,9.24,Chitradurga & Davanagere Districts,UEPL,0.14,Operational,DBPL,GAIL,Dabhol-Bangalore,17.16.NGPL,Dabhol-Bangalore,"acronym 'DBPL' expands to 'Dabhol-Bangalore', the register's own name for 17.16.NGPL; transmission entity GAIL matches that pipeline's operator",C,10,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
