pipeline_id,pipeline_name,pipeline_category,status,in_graph_scope,state_ut,states_covered_verbatim,state_source,normalisation_note,provenance_category
17.01.NGPL,Assam Regional Network,Common Carrier,Operational,True,Assam,Assam,"PNGRB register, States Covered column",,A
17.02.NGPL,Cauvery Basin Network,Common Carrier,Operational,True,Puducherry,Puducherry and Tamil Nadu,"PNGRB register, States Covered column",,A
17.02.NGPL,Cauvery Basin Network,Common Carrier,Operational,True,Tamil Nadu,Puducherry and Tamil Nadu,"PNGRB register, States Covered column",,A
17.03.NGPL,Hazira-Vijaipur-Jagdishpur -GREP (Gas Rehabilitation and Expansion Project)-Dahej-Vijaipur HVJ/VDPL,Common Carrier,Operational,True,Delhi,"Uttar Pradesh, Madhya Pradesh, Rajasthan and Gujarat, Haryana, Delhi, and Uttarakhand","PNGRB register, States Covered column",,A
17.03.NGPL,Hazira-Vijaipur-Jagdishpur -GREP (Gas Rehabilitation and Expansion Project)-Dahej-Vijaipur HVJ/VDPL,Common Carrier,Operational,True,Gujarat,"Uttar Pradesh, Madhya Pradesh, Rajasthan and Gujarat, Haryana, Delhi, and Uttarakhand","PNGRB register, States Covered column",,A
17.03.NGPL,Hazira-Vijaipur-Jagdishpur -GREP (Gas Rehabilitation and Expansion Project)-Dahej-Vijaipur HVJ/VDPL,Common Carrier,Operational,True,Haryana,"Uttar Pradesh, Madhya Pradesh, Rajasthan and Gujarat, Haryana, Delhi, and Uttarakhand","PNGRB register, States Covered column",,A
17.03.NGPL,Hazira-Vijaipur-Jagdishpur -GREP (Gas Rehabilitation and Expansion Project)-Dahej-Vijaipur HVJ/VDPL,Common Carrier,Operational,True,Madhya Pradesh,"Uttar Pradesh, Madhya Pradesh, Rajasthan and Gujarat, Haryana, Delhi, and Uttarakhand","PNGRB register, States Covered column",,A
17.03.NGPL,Hazira-Vijaipur-Jagdishpur -GREP (Gas Rehabilitation and Expansion Project)-Dahej-Vijaipur HVJ/VDPL,Common Carrier,Operational,True,Rajasthan,"Uttar Pradesh, Madhya Pradesh, Rajasthan and Gujarat, Haryana, Delhi, and Uttarakhand","PNGRB register, States Covered column",,A
17.03.NGPL,Hazira-Vijaipur-Jagdishpur -GREP (Gas Rehabilitation and Expansion Project)-Dahej-Vijaipur HVJ/VDPL,Common Carrier,Operational,True,Uttar Pradesh,"Uttar Pradesh, Madhya Pradesh, Rajasthan and Gujarat, Haryana, Delhi, and Uttarakhand","PNGRB register, States Covered column",,A
17.03.NGPL,Hazira-Vijaipur-Jagdishpur -GREP (Gas Rehabilitation and Expansion Project)-Dahej-Vijaipur HVJ/VDPL,Common Carrier,Operational,True,Uttarakhand,"Uttar Pradesh, Madhya Pradesh, Rajasthan and Gujarat, Haryana, Delhi, and Uttarakhand","PNGRB register, States Covered column",,A
17.11.NGPL,Dahej-Vijaipur (DVPL)-Vijaipur-Dadri (GREP) Upgradation DVPL 2 & VDPL,Common Carrier,Operational,True,NOT_STATED,,"PNGRB register, States Covered column",register records no state for this row,A
17.04.NGPL,Kakinada-Hyderabad-Uran-Ahmedabad (East West Pipeline),Common Carrier,Operational,True,Andhra Pradesh,"Andhra Pradesh, Gujarat, Maharashtra, Telangana and Karnataka","PNGRB register, States Covered column",,A
17.04.NGPL,Kakinada-Hyderabad-Uran-Ahmedabad (East West Pipeline),Common Carrier,Operational,True,Gujarat,"Andhra Pradesh, Gujarat, Maharashtra, Telangana and Karnataka","PNGRB register, States Covered column",,A
17.04.NGPL,Kakinada-Hyderabad-Uran-Ahmedabad (East West Pipeline),Common Carrier,Operational,True,Karnataka,"Andhra Pradesh, Gujarat, Maharashtra, Telangana and Karnataka","PNGRB register, States Covered column",,A
17.04.NGPL,Kakinada-Hyderabad-Uran-Ahmedabad (East West Pipeline),Common Carrier,Operational,True,Maharashtra,"Andhra Pradesh, Gujarat, Maharashtra, Telangana and Karnataka","PNGRB register, States Covered column",,A
17.04.NGPL,Kakinada-Hyderabad-Uran-Ahmedabad (East West Pipeline),Common Carrier,Operational,True,Telangana,"Andhra Pradesh, Gujarat, Maharashtra, Telangana and Karnataka","PNGRB register, States Covered column",,A
17.05.NGPL,Dahej-Uran-Panvel-Dabhol,Common Carrier,Operational,True,Dadra and Nagar Haveli and Daman and Diu,"Gujarat, Maharashtra, UT of Dadra & Nagar Haveli and Daman & Diu","PNGRB register, States Covered column","canonical form; register prints it differently in the verbatim cell (abbreviation, '&', 'UT of', or an older name)",A
17.05.NGPL,Dahej-Uran-Panvel-Dabhol,Common Carrier,Operational,True,Gujarat,"Gujarat, Maharashtra, UT of Dadra & Nagar Haveli and Daman & Diu","PNGRB register, States Covered column",,A
17.05.NGPL,Dahej-Uran-Panvel-Dabhol,Common Carrier,Operational,True,Maharashtra,"Gujarat, Maharashtra, UT of Dadra & Nagar Haveli and Daman & Diu","PNGRB register, States Covered column",,A
17.06.NGPL,KG Basin Network,Common Carrier,Operational,True,Andhra Pradesh,Andhra Pradesh,"PNGRB register, States Covered column",,A
17.07.NGPL,Gujarat Regional Network,Common Carrier,Operational,True,Gujarat,Gujarat,"PNGRB register, States Covered column",,A
17.08.NGPL,Agartala Regional Network,Common Carrier,Operational,True,Tripura,Tripura,"PNGRB register, States Covered column",,A
17.10.NGPL,Dadri-Panipat,Common Carrier,Operational,True,Haryana,Haryana and Uttar Pradesh,"PNGRB register, States Covered column",,A
17.10.NGPL,Dadri-Panipat,Common Carrier,Operational,True,Uttar Pradesh,Haryana and Uttar Pradesh,"PNGRB register, States Covered column",,A
17.13.NGPL,Mumbai Regional Network,Common Carrier,Operational,True,Maharashtra,Maharashtra,"PNGRB register, States Covered column",,A
17.14.NGPL,Uran-Trombay,Common Carrier,Operational,True,Maharashtra,Maharashtra,"PNGRB register, States Covered column",,A
18.01.NGPL,High Pressure Gujarat Gas Grid,Common Carrier,Operational,True,Gujarat,Gujarat,"PNGRB register, States Covered column",,A
18.02.NGPL,Hazira-Ankleshwar (HAPi),Common Carrier,Operational,True,Gujarat,Gujarat,"PNGRB register, States Covered column",,A
18.03.NGPL,Low Pressure Gujarat Gas Grid,Common Carrier,Operational,True,Gujarat,Gujarat,"PNGRB register, States Covered column",,A
5.05.NGPL,Shahdol-Phulpur,Common Carrier,Operational,True,Madhya Pradesh,Madhya Pradesh and Uttar Pradesh,"PNGRB register, States Covered column",,A
5.05.NGPL,Shahdol-Phulpur,Common Carrier,Operational,True,Uttar Pradesh,Madhya Pradesh and Uttar Pradesh,"PNGRB register, States Covered column",,A
17.17.NGPL,Assam Regional Network,Common Carrier,Operational,True,Assam,Assam,"PNGRB register, States Covered column",,A
17.18.NGPL,Dukli - Maharajganj,Common Carrier,Operational,True,Tripura,Agartala,"PNGRB register, States Covered column","canonical form; register prints it differently in the verbatim cell (abbreviation, '&', 'UT of', or an older name)",A
17.19.NGPL,Uran-Taloja,Common Carrier,Operational,True,Maharashtra,Maharashtra,"PNGRB register, States Covered column",,A
17.09.NGPL,Chainsa-Jhajjar-Hissar,Common Carrier,Operational,True,Delhi,"Haryana, Rajasthan and Delhi","PNGRB register, States Covered column",,A
17.09.NGPL,Chainsa-Jhajjar-Hissar,Common Carrier,Operational,True,Haryana,"Haryana, Rajasthan and Delhi","PNGRB register, States Covered column",,A
17.09.NGPL,Chainsa-Jhajjar-Hissar,Common Carrier,Operational,True,Rajasthan,"Haryana, Rajasthan and Delhi","PNGRB register, States Covered column",,A
17.12.NGPL,Dadri-Bawana-Nangal,Common Carrier,Operational,True,Delhi,"Punjab, Haryana, Uttar Pradesh, Uttarakhand, Delhi, and Himachal Pradesh","PNGRB register, States Covered column",,A
17.12.NGPL,Dadri-Bawana-Nangal,Common Carrier,Operational,True,Haryana,"Punjab, Haryana, Uttar Pradesh, Uttarakhand, Delhi, and Himachal Pradesh","PNGRB register, States Covered column",,A
17.12.NGPL,Dadri-Bawana-Nangal,Common Carrier,Operational,True,Himachal Pradesh,"Punjab, Haryana, Uttar Pradesh, Uttarakhand, Delhi, and Himachal Pradesh","PNGRB register, States Covered column",,A
17.12.NGPL,Dadri-Bawana-Nangal,Common Carrier,Operational,True,Punjab,"Punjab, Haryana, Uttar Pradesh, Uttarakhand, Delhi, and Himachal Pradesh","PNGRB register, States Covered column",,A
17.12.NGPL,Dadri-Bawana-Nangal,Common Carrier,Operational,True,Uttar Pradesh,"Punjab, Haryana, Uttar Pradesh, Uttarakhand, Delhi, and Himachal Pradesh","PNGRB register, States Covered column",,A
17.12.NGPL,Dadri-Bawana-Nangal,Common Carrier,Operational,True,Uttarakhand,"Punjab, Haryana, Uttar Pradesh, Uttarakhand, Delhi, and Himachal Pradesh","PNGRB register, States Covered column",,A
21.01.NGPL,Jaigarh - Dabhol,Tie-in,Operational,False,Maharashtra,Maharashtra,"PNGRB register, States Covered column",,A
21.03.NGPL,"ONGCs WHI North Penugonda to GAH, Peravali SV station",Tie-in,Operational,False,Andhra Pradesh,Andhra Pradesh,"PNGRB register, States Covered column",,A
21.06.NGPL,ONGC's Madnam field to GAIL's Cauvery Basin Network at SV-2 (Memathur),Tie-in,Operational,False,Andhra Pradesh,Andhra Pradesh,"PNGRB register, States Covered column",,A
21.07.NGPL,"ONGC's S1-VA fields ex-Odalarevu to GAIL's KG Basin Network at SV-1, Bodaskurru",Tie-in,Operational,False,Andhra Pradesh,Andhra Pradesh,"PNGRB register, States Covered column",,A
21.04.NGPL,Suvali to HVJ/DVPL Network,Tie-in,Operational,False,Gujarat,Gujarat,"PNGRB register, States Covered column",,A
21.05.NGPL,ONGC's Bantumilli gas source field to GAIL's KG Basin Network,Tie-in,Operational,False,Andhra Pradesh,Andhra Pradesh,"PNGRB register, States Covered column",,A
21.19.NGPL,"Vedanta Limited's Jaya Fields at Jambusar, Gujarat to South Gujarat Main subnetwork of GAIL's Gujarat Regional Network",Tie-in,Operational,False,Gujarat,Gujarat,"PNGRB register, States Covered column",,A
21.15.NGPL,ONGC's Bokaro CBM Block to SV-01A on Bokaro-Dhamra Section of JHBDPL,Tie-in,Operational,False,Jharkhand,Jharkhand,"PNGRB register, States Covered column",,A
21.11.NGPL,HSEPL LNG Terminal at Chhara to GSPL's dispatch terminal at Londhpur,Tie-in,Operational,False,Gujarat,Gujarat,"PNGRB register, States Covered column",,A
19.01.NGPL,Duliajan to Numaligarh,Dedicated,Operational,False,Assam,Assam,"PNGRB register, States Covered column",,A
19.02.NGPL,Essar's LP gas gathering header to Phillips Carbon Black Ltd. Durgapur,Dedicated,Operational,False,West Bengal,West Bengal,"PNGRB register, States Covered column",,A
19.03.NGPL,Essar's LP Gas Gathering Header to Graphite India Ltd in Durgapur,Dedicated,Operational,False,West Bengal,West Bengal,"PNGRB register, States Covered column",,A
19.04.NGPL,"PLL Dahej Terminal to DGEN Power Plant, Dahej SEZ",Dedicated,Operational,False,Gujarat,Gujarat,"PNGRB register, States Covered column",,A
19.05.NGPL,EPS Akoljoni - Sapna Chemical (No Offtake),Dedicated,Operational,False,Gujarat,Gujarat,"PNGRB register, States Covered column",,A
19.06.NGPL,EPS Nanda - Supreme Glass,Dedicated,Operational,False,Gujarat,Gujarat,"PNGRB register, States Covered column",,A
19.07.NGPL,Dahej GGS to GACL P/L,Dedicated,Operational,False,Gujarat,Gujarat,"PNGRB register, States Covered column",,A
19.08.NGPL,GGS Olpad to CYA. & CHEM.,Dedicated,Operational,False,Gujarat,Gujarat,"PNGRB register, States Covered column",,A
19.09.NGPL,Jolwa EPS to Nahar P/L,Dedicated,Operational,False,Gujarat,Gujarat,"PNGRB register, States Covered column",,A
19.10.NGPL,Jolwa EPS to GACL (MDPE),Dedicated,Operational,False,Gujarat,Gujarat,"PNGRB register, States Covered column",,A
19.11.NGPL,Kim EPS to Spire cera P/L (MDPE),Dedicated,Operational,False,Gujarat,Gujarat,"PNGRB register, States Covered column",,A
19.12.NGPL,EPS Wasana - Universal Metal (Manglam Alloys),Dedicated,Operational,False,Gujarat,Gujarat,"PNGRB register, States Covered column",,A
19.13.NGPL,Motera GGS - RIL Sughad,Dedicated,Operational,False,Gujarat,Gujarat,"PNGRB register, States Covered column",,A
19.14.NGPL,Kalol collector line T/O - BVM,Dedicated,Operational,False,Gujarat,Gujarat,"PNGRB register, States Covered column",,A
19.15.NGPL,EPS Nandasan - Nirma,Dedicated,Operational,False,Gujarat,Gujarat,"PNGRB register, States Covered column",,A
19.16.NGPL,EPS Nandasan - Sterling (N),Dedicated,Operational,False,Gujarat,Gujarat,"PNGRB register, States Covered column",,A
19.17.NGPL,EPS Nandasan - Sterling (K),Dedicated,Operational,False,Gujarat,Gujarat,"PNGRB register, States Covered column",,A
19.18.NGPL,EPS Wadu - Pioneer,Dedicated,Operational,False,Gujarat,Gujarat,"PNGRB register, States Covered column",,A
19.19.NGPL,Sanand GGS - Jalaram,Dedicated,Operational,False,Gujarat,Gujarat,"PNGRB register, States Covered column",,A
19.20.NGPL,Limbodara EPS - Akash,Dedicated,Operational,False,Gujarat,Gujarat,"PNGRB register, States Covered column",,A
19.21.NGPL,Nandasan EPS - Akik Tiles,Dedicated,Operational,False,Gujarat,Gujarat,"PNGRB register, States Covered column",,A
