pipeline_id,seq_from,seq_to,from_node_id,to_node_id,from_node_name,to_node_name,from_status,to_status,segment_status,straight_line_km,geometry_type,length_basis,provenance_category
17.03.NGPL,1,2,N023,N055,Hazira,Vijaipur,resolved,ambiguous,gap_to_ambiguous,NA,NONE,NA,B -- computed from two Category-B node coordinates
17.03.NGPL,2,3,N055,N026,Vijaipur,Jagdishpur,ambiguous,resolved,gap_from_ambiguous,NA,NONE,NA,B -- computed from two Category-B node coordinates
17.03.NGPL,3,4,N026,N014,Jagdishpur,Dahej,resolved,resolved,drawable,991.064,reconstructed_straight_segment,"geodesic, WGS 84 ellipsoid",B -- computed from two Category-B node coordinates
17.11.NGPL,1,2,N014,N055,Dahej,Vijaipur,resolved,ambiguous,gap_to_ambiguous,NA,NONE,NA,B -- computed from two Category-B node coordinates
17.11.NGPL,2,3,N055,N013,Vijaipur,Dadri,ambiguous,resolved,gap_from_ambiguous,NA,NONE,NA,B -- computed from two Category-B node coordinates
17.04.NGPL,1,2,N031,N025,Kakinada,Hyderabad,resolved,resolved,drawable,405.047,reconstructed_straight_segment,"geodesic, WGS 84 ellipsoid",B -- computed from two Category-B node coordinates
17.04.NGPL,2,3,N025,N054,Hyderabad,Uran,resolved,resolved,drawable,606.782,reconstructed_straight_segment,"geodesic, WGS 84 ellipsoid",B -- computed from two Category-B node coordinates
17.04.NGPL,3,4,N054,N001,Uran,Ahmedabad,resolved,resolved,drawable,460.671,reconstructed_straight_segment,"geodesic, WGS 84 ellipsoid",B -- computed from two Category-B node coordinates
17.05.NGPL,1,2,N014,N054,Dahej,Uran,resolved,resolved,drawable,315.821,reconstructed_straight_segment,"geodesic, WGS 84 ellipsoid",B -- computed from two Category-B node coordinates
17.05.NGPL,2,3,N054,N045,Uran,Panvel,resolved,resolved,drawable,21.772,reconstructed_straight_segment,"geodesic, WGS 84 ellipsoid",B -- computed from two Category-B node coordinates
17.05.NGPL,3,4,N045,N012,Panvel,Dabhol,resolved,resolved,drawable,155.03,reconstructed_straight_segment,"geodesic, WGS 84 ellipsoid",B -- computed from two Category-B node coordinates
17.10.NGPL,1,2,N013,N043,Dadri,Panipat,resolved,resolved,drawable,108.732,reconstructed_straight_segment,"geodesic, WGS 84 ellipsoid",B -- computed from two Category-B node coordinates
17.14.NGPL,1,2,N054,N052,Uran,Trombay,resolved,resolved,drawable,14.109,reconstructed_straight_segment,"geodesic, WGS 84 ellipsoid",B -- computed from two Category-B node coordinates
18.02.NGPL,1,2,N023,N003,Hazira,Ankleshwar,resolved,resolved,drawable,65.601,reconstructed_straight_segment,"geodesic, WGS 84 ellipsoid",B -- computed from two Category-B node coordinates
5.05.NGPL,1,2,N049,N047,Shahdol,Phulpur,resolved,resolved,drawable,260.485,reconstructed_straight_segment,"geodesic, WGS 84 ellipsoid",B -- computed from two Category-B node coordinates
17.18.NGPL,1,2,N016,N035,Dukli,Maharajganj,resolved,unresolved,gap_to_unresolved,NA,NONE,NA,B -- computed from two Category-B node coordinates
17.19.NGPL,1,2,N054,N051,Uran,Taloja,resolved,resolved,drawable,28.424,reconstructed_straight_segment,"geodesic, WGS 84 ellipsoid",B -- computed from two Category-B node coordinates
17.09.NGPL,1,2,N011,N029,Chainsa,Jhajjar,unresolved,resolved,gap_from_unresolved,NA,NONE,NA,B -- computed from two Category-B node coordinates
17.09.NGPL,2,3,N029,N024,Jhajjar,Hissar,resolved,resolved,drawable,109.443,reconstructed_straight_segment,"geodesic, WGS 84 ellipsoid",B -- computed from two Category-B node coordinates
17.12.NGPL,1,2,N013,N006,Dadri,Bawana,resolved,resolved,drawable,57.633,reconstructed_straight_segment,"geodesic, WGS 84 ellipsoid",B -- computed from two Category-B node coordinates
17.12.NGPL,2,3,N006,N041,Bawana,Nangal,resolved,resolved,drawable,294.202,reconstructed_straight_segment,"geodesic, WGS 84 ellipsoid",B -- computed from two Category-B node coordinates
5.01.NGPL,1,2,N038,N007,Mehsana,Bhatinda,resolved,resolved,drawable,774.907,reconstructed_straight_segment,"geodesic, WGS 84 ellipsoid",B -- computed from two Category-B node coordinates
5.02.NGPL,1,2,N007,N019,Bhatinda,Gurdaspur,resolved,resolved,drawable,207.872,reconstructed_straight_segment,"geodesic, WGS 84 ellipsoid",B -- computed from two Category-B node coordinates
5.03.NGPL,1,2,N036,N009,Mallavaram,Bhopal,resolved,resolved,drawable,871.177,reconstructed_straight_segment,"geodesic, WGS 84 ellipsoid",B -- computed from two Category-B node coordinates
5.03.NGPL,2,3,N009,N008,Bhopal,Bhilwara,resolved,resolved,drawable,363.749,reconstructed_straight_segment,"geodesic, WGS 84 ellipsoid",B -- computed from two Category-B node coordinates
5.03.NGPL,3,4,N008,N055,Bhilwara,Vijaipur,resolved,ambiguous,gap_to_ambiguous,NA,NONE,NA,B -- computed from two Category-B node coordinates
17.16.NGPL,1,2,N012,N004,Dabhol,Bangalore,resolved,resolved,drawable,696.9,reconstructed_straight_segment,"geodesic, WGS 84 ellipsoid",B -- computed from two Category-B node coordinates
17.15.NGPL,1,2,N033,N034,Kochi,Koottanad,resolved,resolved,drawable,91.827,reconstructed_straight_segment,"geodesic, WGS 84 ellipsoid",B -- computed from two Category-B node coordinates
17.15.NGPL,2,3,N034,N004,Koottanad,Bangalore,resolved,resolved,drawable,293.066,reconstructed_straight_segment,"geodesic, WGS 84 ellipsoid",B -- computed from two Category-B node coordinates
17.15.NGPL,3,4,N004,N037,Bangalore,Mangalore,resolved,resolved,drawable,297.12,reconstructed_straight_segment,"geodesic, WGS 84 ellipsoid",B -- computed from two Category-B node coordinates
5.08.NGPL,1,2,N018,N053,Ennore,Tuticorin,resolved,resolved,drawable,550.506,reconstructed_straight_segment,"geodesic, WGS 84 ellipsoid",B -- computed from two Category-B node coordinates
17.20.NGPL,1,2,N026,N021,Jagdishpur,Haldia,resolved,resolved,drawable,888.168,reconstructed_straight_segment,"geodesic, WGS 84 ellipsoid",B -- computed from two Category-B node coordinates
17.20.NGPL,2,3,N021,N010,Haldia,Bokaro,resolved,resolved,drawable,268.556,reconstructed_straight_segment,"geodesic, WGS 84 ellipsoid",B -- computed from two Category-B node coordinates
17.20.NGPL,3,4,N010,N015,Bokaro,Dhamra,resolved,resolved,drawable,327.363,reconstructed_straight_segment,"geodesic, WGS 84 ellipsoid",B -- computed from two Category-B node coordinates
17.20.NGPL,4,5,N015,N046,Dhamra,Paradip,resolved,resolved,drawable,60.294,reconstructed_straight_segment,"geodesic, WGS 84 ellipsoid",B -- computed from two Category-B node coordinates
17.20.NGPL,5,6,N046,N005,Paradip,Barauni,resolved,resolved,drawable,579.265,reconstructed_straight_segment,"geodesic, WGS 84 ellipsoid",B -- computed from two Category-B node coordinates
17.20.NGPL,6,7,N005,N020,Barauni,Guwahati,resolved,resolved,drawable,583.823,reconstructed_straight_segment,"geodesic, WGS 84 ellipsoid",B -- computed from two Category-B node coordinates
5.13.NGPL,1,2,N039,N040,Mumbai,Nagpur,resolved,resolved,drawable,687.942,reconstructed_straight_segment,"geodesic, WGS 84 ellipsoid",B -- computed from two Category-B node coordinates
5.13.NGPL,2,3,N040,N030,Nagpur,Jharsuguda,resolved,resolved,drawable,516.004,reconstructed_straight_segment,"geodesic, WGS 84 ellipsoid",B -- computed from two Category-B node coordinates
5.12.NGPL,1,2,N050,N002,Srikakulam,Angul,resolved,resolved,drawable,308.466,reconstructed_straight_segment,"geodesic, WGS 84 ellipsoid",B -- computed from two Category-B node coordinates
5.07.NGPL,1,2,N018,N042,Ennore,Nellore,resolved,resolved,drawable,138.056,reconstructed_straight_segment,"geodesic, WGS 84 ellipsoid",B -- computed from two Category-B node coordinates
5.10.NGPL,1,2,N031,N056,Kakinada,Vijayawada,resolved,resolved,drawable,176.954,reconstructed_straight_segment,"geodesic, WGS 84 ellipsoid",B -- computed from two Category-B node coordinates
5.10.NGPL,2,3,N056,N042,Vijayawada,Nellore,resolved,resolved,drawable,238.421,reconstructed_straight_segment,"geodesic, WGS 84 ellipsoid",B -- computed from two Category-B node coordinates
5.11.NGPL,1,2,N032,N044,Kanai Chhata,Panitar,unresolved,unresolved,gap_both_unresolved (unresolved/unresolved),NA,NONE,NA,B -- computed from two Category-B node coordinates
21.17.NGPL,1,2,N028,N017,Jamnagar,Dwarka,resolved,resolved,drawable,116.109,reconstructed_straight_segment,"geodesic, WGS 84 ellipsoid",B -- computed from two Category-B node coordinates
5.14.NGPL,1,2,N022,N048,Hazaribagh,Ranchi,resolved,resolved,drawable,72.104,reconstructed_straight_segment,"geodesic, WGS 84 ellipsoid",B -- computed from two Category-B node coordinates
5.15.NGPL,1,2,N019,N027,Gurdaspur,Jammu,resolved,resolved,drawable,92.479,reconstructed_straight_segment,"geodesic, WGS 84 ellipsoid",B -- computed from two Category-B node coordinates
