pipeline_id,pipeline_name,topology_class,n_waypoints_stated,n_segments_stated,n_segments_drawable,n_segments_gap,route_geometry_status,straight_line_total_km,straight_line_drawn_km,authorized_length_km,sinuosity_ratio,length_excess_km,sinuosity_flag,centroid_allowance_km,path_assumption,geometry_note
17.01.NGPL,Assam Regional Network,areal,0,0,0,0,not_applicable_areal,NA,NA,8.0,NA,NA,NA_areal,NA,no route stated by the register,"Assam Regional Network -- service area, no route stated"
17.02.NGPL,Cauvery Basin Network,areal,0,0,0,0,not_applicable_areal,NA,NA,240.0,NA,NA,NA_areal,NA,no route stated by the register,"Cauvery Basin Network -- basin network, no route stated"
17.03.NGPL,Hazira-Vijaipur-Jagdishpur -GREP (Gas Rehabilitation and Expansion Project)-Dahej-Vijaipur HVJ/VDPL,linear,4,3,1,2,partial,NA,991.064,6169.0,NA,NA,NOT_COMPARABLE_non_path,40.0,printed order is NOT a traversal,"Merged authorization covering HVJ + GREP + DVPL/VDPL. The printed order is not a single traversal; the drawn chain is a reading aid, not a route. Length comparison is not meaningful."
17.04.NGPL,Kakinada-Hyderabad-Uran-Ahmedabad (East West Pipeline),linear,4,3,3,0,complete,1472.5,1472.5,1459.0,0.991,13.5,REVIEW_marginally_shorter_within_centroid_tolerance,40.0,printed order read as a traversal,
17.05.NGPL,Dahej-Uran-Panvel-Dabhol,linear,4,3,3,0,complete,492.624,492.624,920.0,1.868,-427.376,REVIEW_high_ratio_length_unexplained_by_named_points,40.0,printed order read as a traversal,
17.06.NGPL,KG Basin Network,areal,0,0,0,0,not_applicable_areal,NA,NA,878.0,NA,NA,NA_areal,NA,no route stated by the register,"KG Basin Network -- basin network, no route stated"
17.07.NGPL,Gujarat Regional Network,areal,0,0,0,0,not_applicable_areal,NA,NA,609.0,NA,NA,NA_areal,NA,no route stated by the register,"Gujarat Regional Network -- service area, no route stated"
17.08.NGPL,Agartala Regional Network,areal,0,0,0,0,not_applicable_areal,NA,NA,55.0,NA,NA,NA_areal,NA,no route stated by the register,"Agartala Regional Network -- service area, no route stated"
17.09.NGPL,Chainsa-Jhajjar-Hissar,linear,3,2,1,1,partial,NA,109.443,455.0,NA,NA,NA_incomplete_geometry,30.0,printed order read as a traversal,"Register spells it 'Hissar'; the same place is 'Hisar' elsewhere. Spelling kept verbatim, alias recorded in STEP 2b."
17.10.NGPL,Dadri-Panipat,linear,2,1,1,0,complete,108.732,108.732,132.0,1.214,-23.268,ok,20.0,printed order read as a traversal,
17.11.NGPL,Dahej-Vijaipur (DVPL)-Vijaipur-Dadri (GREP) Upgradation DVPL 2 & VDPL,linear,3,2,0,2,none_all_segments_gapped,NA,NA,,NA,NA,NOT_COMPARABLE_non_path,30.0,printed order is NOT a traversal,"The register states two segments (Dahej-Vijaipur, Vijaipur-Dadri) and shares its length cell with 17.03, so authorized_length_km cannot be attributed to this chain alone."
17.12.NGPL,Dadri-Bawana-Nangal,linear,3,2,2,0,complete,351.835,351.835,921.0,2.618,-569.165,REVIEW_high_ratio_length_unexplained_by_named_points,30.0,printed order read as a traversal,
17.13.NGPL,Mumbai Regional Network,areal,0,0,0,0,not_applicable_areal,NA,NA,129.0,NA,NA,NA_areal,NA,no route stated by the register,"Mumbai Regional Network -- service area, no route stated"
17.14.NGPL,Uran-Trombay,linear,2,1,1,0,complete,14.109,14.109,24.0,1.701,-9.891,REVIEW_high_ratio_length_unexplained_by_named_points,20.0,printed order read as a traversal,
17.15.NGPL,Kochi-Koottanad-Bangalore-Mangalore,linear,4,3,3,0,complete,682.013,682.013,1104.0,1.619,-421.987,REVIEW_high_ratio_length_unexplained_by_named_points,40.0,printed order read as a traversal,
17.16.NGPL,Dabhol-Bangalore,linear,2,1,1,0,complete,696.9,696.9,1414.0,2.029,-717.1,REVIEW_high_ratio_length_unexplained_by_named_points,20.0,printed order read as a traversal,
17.17.NGPL,Assam Regional Network,areal,0,0,0,0,not_applicable_areal,NA,NA,105.0,NA,NA,NA_areal,NA,no route stated by the register,"Assam Regional Network (AGCL) -- service area, no route stated"
17.18.NGPL,Dukli - Maharajganj,linear,2,1,0,1,none_all_segments_gapped,NA,NA,5.2,NA,NA,NA_incomplete_geometry,20.0,printed order read as a traversal,
17.19.NGPL,Uran-Taloja,linear,2,1,1,0,complete,28.424,28.424,42.0,1.478,-13.576,ok,20.0,printed order read as a traversal,
17.20.NGPL,Jagdishpur-Haldia-Bokaro Dhamra-Paradip-Barauni-Guwahati,linear,7,6,6,0,complete,2707.469,2707.469,3546.0,NA,NA,NOT_COMPARABLE_non_path,70.0,printed order is NOT a traversal,Known branching trunk (JHBDPL / Urja Ganga). The printed order is not a single traversal. Length comparison is not meaningful.
18.01.NGPL,High Pressure Gujarat Gas Grid,areal,0,0,0,0,not_applicable_areal,NA,NA,2860.0,NA,NA,NA_areal,NA,no route stated by the register,"High Pressure Gujarat Gas Grid -- state-wide grid, no route stated"
18.02.NGPL,Hazira-Ankleshwar (HAPi),linear,2,1,1,0,complete,65.601,65.601,73.0,1.113,-7.399,ok,20.0,printed order read as a traversal,"'(HAPi)' is the pipeline's acronym, not a waypoint; dropped."
18.03.NGPL,Low Pressure Gujarat Gas Grid,areal,0,0,0,0,not_applicable_areal,NA,NA,58.0,NA,NA,NA_areal,NA,no route stated by the register,"Low Pressure Gujarat Gas Grid -- state-wide grid, no route stated"
