node_name,latitude,longitude,legacy_source
Ahmedabad,23.0225,72.5714,"pipeline_nodes.csv / Dataset/pipeline_nodes.csv (v0 tables, provenance unknown)"
Angul,20.8444,85.1511,"pipeline_nodes.csv / Dataset/pipeline_nodes.csv (v0 tables, provenance unknown)"
Ankleshwar,21.626,73.015,"pipeline_nodes.csv / Dataset/pipeline_nodes.csv (v0 tables, provenance unknown)"
Bangalore,12.9716,77.5946,"pipeline_nodes.csv / Dataset/pipeline_nodes.csv (v0 tables, provenance unknown)"
Barauni,25.477,85.968,"pipeline_nodes.csv / Dataset/pipeline_nodes.csv (v0 tables, provenance unknown)"
Bawana,28.8004,77.0343,"pipeline_nodes.csv / Dataset/pipeline_nodes.csv (v0 tables, provenance unknown)"
Bhatinda,30.211,74.9455,"pipeline_nodes.csv / Dataset/pipeline_nodes.csv (v0 tables, provenance unknown)"
Bhilwara,25.347,74.6408,"pipeline_nodes.csv / Dataset/pipeline_nodes.csv (v0 tables, provenance unknown)"
Bhopal,23.2599,77.4126,"pipeline_nodes.csv / Dataset/pipeline_nodes.csv (v0 tables, provenance unknown)"
Bokaro,23.6693,86.1511,"pipeline_nodes.csv / Dataset/pipeline_nodes.csv (v0 tables, provenance unknown)"
Chainsa,28.295,77.34,"pipeline_nodes.csv / Dataset/pipeline_nodes.csv (v0 tables, provenance unknown)"
Dabhol,17.589,73.18,"pipeline_nodes.csv / Dataset/pipeline_nodes.csv (v0 tables, provenance unknown)"
Dadri,28.547,77.554,"pipeline_nodes.csv / Dataset/pipeline_nodes.csv (v0 tables, provenance unknown)"
Dahej,21.7129,72.582,"pipeline_nodes.csv / Dataset/pipeline_nodes.csv (v0 tables, provenance unknown)"
Dhamra,20.79,86.95,"pipeline_nodes.csv / Dataset/pipeline_nodes.csv (v0 tables, provenance unknown)"
Dukli,23.86,91.31,"pipeline_nodes.csv / Dataset/pipeline_nodes.csv (v0 tables, provenance unknown)"
Ennore,13.2146,80.3203,"pipeline_nodes.csv / Dataset/pipeline_nodes.csv (v0 tables, provenance unknown)"
Gurdaspur,32.041,75.403,"pipeline_nodes.csv / Dataset/pipeline_nodes.csv (v0 tables, provenance unknown)"
Guwahati,26.1445,91.7362,"pipeline_nodes.csv / Dataset/pipeline_nodes.csv (v0 tables, provenance unknown)"
Haldia,22.0667,88.0698,"pipeline_nodes.csv / Dataset/pipeline_nodes.csv (v0 tables, provenance unknown)"
Hazira,21.1162,72.6518,"pipeline_nodes.csv / Dataset/pipeline_nodes.csv (v0 tables, provenance unknown)"
Hissar,29.1492,75.7217,"pipeline_nodes.csv / Dataset/pipeline_nodes.csv (v0 tables, provenance unknown)"
Hyderabad,17.385,78.4867,"pipeline_nodes.csv / Dataset/pipeline_nodes.csv (v0 tables, provenance unknown)"
Jagdishpur,26.555,80.915,"pipeline_nodes.csv / Dataset/pipeline_nodes.csv (v0 tables, provenance unknown)"
Jhajjar,28.6063,76.6565,"pipeline_nodes.csv / Dataset/pipeline_nodes.csv (v0 tables, provenance unknown)"
Jharsuguda,21.8554,84.0062,"pipeline_nodes.csv / Dataset/pipeline_nodes.csv (v0 tables, provenance unknown)"
Kakinada,16.9891,82.2475,"pipeline_nodes.csv / Dataset/pipeline_nodes.csv (v0 tables, provenance unknown)"
Kochi,9.9312,76.2673,"pipeline_nodes.csv / Dataset/pipeline_nodes.csv (v0 tables, provenance unknown)"
Koottanad,10.683,76.021,"pipeline_nodes.csv / Dataset/pipeline_nodes.csv (v0 tables, provenance unknown)"
Mallavaram,16.56,81.73,"pipeline_nodes.csv / Dataset/pipeline_nodes.csv (v0 tables, provenance unknown)"
Mangalore,12.9141,74.856,"pipeline_nodes.csv / Dataset/pipeline_nodes.csv (v0 tables, provenance unknown)"
Mehsana,23.588,72.369,"pipeline_nodes.csv / Dataset/pipeline_nodes.csv (v0 tables, provenance unknown)"
Mumbai,19.076,72.8777,"pipeline_nodes.csv / Dataset/pipeline_nodes.csv (v0 tables, provenance unknown)"
Nagpur,21.1458,79.0882,"pipeline_nodes.csv / Dataset/pipeline_nodes.csv (v0 tables, provenance unknown)"
Nangal,31.389,76.375,"pipeline_nodes.csv / Dataset/pipeline_nodes.csv (v0 tables, provenance unknown)"
Panipat,29.3909,76.9635,"pipeline_nodes.csv / Dataset/pipeline_nodes.csv (v0 tables, provenance unknown)"
Panvel,18.9894,73.1175,"pipeline_nodes.csv / Dataset/pipeline_nodes.csv (v0 tables, provenance unknown)"
Paradip,20.3167,86.6167,"pipeline_nodes.csv / Dataset/pipeline_nodes.csv (v0 tables, provenance unknown)"
Phulpur,25.548,82.09,"pipeline_nodes.csv / Dataset/pipeline_nodes.csv (v0 tables, provenance unknown)"
Shahdol,23.298,81.356,"pipeline_nodes.csv / Dataset/pipeline_nodes.csv (v0 tables, provenance unknown)"
Srikakulam,18.2969,83.8978,"pipeline_nodes.csv / Dataset/pipeline_nodes.csv (v0 tables, provenance unknown)"
Taloja,19.07,73.1,"pipeline_nodes.csv / Dataset/pipeline_nodes.csv (v0 tables, provenance unknown)"
Trombay,19.0,72.92,"pipeline_nodes.csv / Dataset/pipeline_nodes.csv (v0 tables, provenance unknown)"
Tuticorin,8.7642,78.1348,"pipeline_nodes.csv / Dataset/pipeline_nodes.csv (v0 tables, provenance unknown)"
Uran,18.878,72.939,"pipeline_nodes.csv / Dataset/pipeline_nodes.csv (v0 tables, provenance unknown)"
Vijaipur,24.043,77.16,"pipeline_nodes.csv / Dataset/pipeline_nodes.csv (v0 tables, provenance unknown)"
